bgc_id	compound	tax_id	strain	species	genus	family	order	class	phylum	kingdom	domain	cellular root	subclass	clade	subspecies	suborder	species group	species subgroup	varietas	serotype	subphylum	subkingdom	subfamily	isolate	subgenus	realm	acellular root	tribe	subtribe
BGC0001737	phenalamide	184914		Corallococcus coralloides	Corallococcus	Myxococcaceae	Myxococcales	Myxococcia	Myxococcota	Pseudomonadati	Bacteria	cellular organisms				Cystobacterineae													
BGC0001739	phosphonoacetic Acid	1463861		Streptomyces sp. NRRL F-525	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0001740	phthoxazolin	33903		Streptomyces avermitilis	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0001742	piericidin A1	371632		Candidatus Streptomyces philanthi	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0001743	plantaricyclin	1590		Lactiplantibacillus plantarum	Lactiplantibacillus	Lactobacillaceae	Lactobacillales	Bacilli	Bacillota	Bacillati	Bacteria	cellular organisms																	
BGC0001745	PlpA1	118161		Pleurocapsa sp. PCC 7319	Pleurocapsa	Hyellaceae	Pleurocapsales	Cyanophyceae	Cyanobacteriota	Bacillati	Bacteria	cellular organisms		Cyanobacteriota/Melainabacteria group															
BGC0001746	pristinol	457429	Streptomyces pristinaespiralis ATCC 25486	Streptomyces pristinaespiralis	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0001747	pseudaminic acid	28112		Tannerella forsythia	Tannerella	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Pseudomonadati	Bacteria	cellular organisms		FCB group															
BGC0001748	pseudospumigin A	1869241		Nostoc sp. CENA543	Nostoc	Nostocaceae	Nostocales	Cyanophyceae	Cyanobacteriota	Bacillati	Bacteria	cellular organisms		Cyanobacteriota/Melainabacteria group															
BGC0001750	pyrronazol B	889268		Nannocystis pusilla	Nannocystis	Nannocystaceae	Nannocystales		Myxococcota	Pseudomonadati	Bacteria	cellular organisms	Polyangia																
